Symbol,ISIN,Sector,Quantity Available,Average Price,Previous Closing Price,Unrealized P&L
RELIANCE,INE002A01018,Energy,40,2350.00,2980.00,25200.00
HDFCBANK,INE040A01034,Financial Services,50,1450.00,1720.00,13500.00
INFY,INE009A01021,Information Technology,35,1350.00,1880.00,18550.00
TCS,INE467B01029,Information Technology,15,3300.00,4150.00,12750.00
ITC,INE154A01025,FMCG,120,380.00,475.00,11400.00
BAJFINANCE,INE296A01024,Financial Services,8,6500.00,7200.00,5600.00
TATAPOWER,INE245A01021,Power,150,210.00,420.00,31500.00
COFORGE,INE591G01017,Information Technology,10,4200.00,6300.00,21000.00
IRCTC,INE335Y01020,Consumer Services,40,650.00,930.00,11200.00
KPITTECH,INE04I401011,Information Technology,30,900.00,1500.00,18000.00
TANLA,INE483C01032,Information Technology,25,800.00,720.00,-2000.00
GOLDBEES,INF204KB17I5,,500,52.00,66.00,7000.00
NIFTYBEES,INF204KB14I2,,200,210.00,275.00,13000.00
MON100,INF247L01536,,180,140.00,205.00,11700.00
EBBETF0433,INF754K01NV2,,300,1080.00,1180.00,30000.00
LIQUIDBEES,INF204KB15I9,,100,1000.00,1000.00,0.00
